order_id,customer_id,product_id,date,quantity,unit_price,discount,channel,region
94,5,5,5/9/2025,7,322,0.1,Online,West
95,68,15,1/4/2025,2,389,0.05,Store,North
96,61,9,3/28/2025,7,339,0.15,Online,North
97,41,16,5/19/2025,2,38,,Store,West
98,30,3,4/22/2025,2,70,0,Online,East
99,4,2,3/25/2025,8,427,0,Online,East
100,56,5,3/4/2025,5,291,0.15,Store,East
101,23,3,6/6/2025,10,465,0.15,Online,South
102,75,5,3/1/2025,10,256,0.1,Online,West
103,60,10,6/23/2025,8,299,0.05,Store,North
104,76,10,6/13/2025,2,237,0.1,Store,East
105,50,16,1/28/2025,8,141,0.15,Store,South
106,90,10,1/6/2025,10,444,0.15,Store,East
107,78,16,3/15/2025,5,417,0.05,Online,North
108,82,7,6/8/2025,10,148,0.05,Store,South
109,57,2,5/29/2025,2,206,0.05,Online,East
110,42,14,2/14/2025,2,122,0.05,online,East
111,22,9,5/4/2025,9,432,0.1,Store,East
112,10,5,2/27/2025,6,460,0.15,Online,West
113,51,1,3/9/2025,9,294,0,Store,North
114,75,13,6/13/2025,8,210,0,Store,East
115,80,18,3/25/2025,4,488,,Store,North
116,90,10,6/16/2025,4,229,0,Online,West
117,39,16,1/30/2025,3,69,0.05,Online,North
118,59,12,6/21/2025,9,400,,Online,West
119,84,4,5/6/2025,7,335,0.15,Online,West
120,89,12,2/25/2025,5,247,0.15,Online,north 
121,88,12,5/20/2025,4,481,0.1,Store,North
122,25,4,4/27/2025,1,66,0.05,Store,East
123,43,8,2/2/2025,10,422,,Online,North
124,76,7,3/1/2025,4,188,0.05,Online,South
125,19,5,5/19/2025,10,148,0.05,Online,East
126,2,12,3/2/2025,2,321,0.1,Online,South
127,7,5,4/18/2025,1,289,0,Online,East
128,100,12,5/12/2025,2,323,0,Store,West
129,94,17,3/19/2025,8,254,0,Online,North
130,55,4,5/6/2025,1,384,0.15,Store,West
131,78,5,1/17/2025,2,84,0.1,Online,East
132,77,17,3/17/2025,10,252,,Store,West
133,90,4,6/17/2025,10,353,,Store,North
134,30,14,3/28/2025,4,443,0.15,Store,West
135,41,14,3/22/2025,7,360,0.1,Store,North
136,9,3,1/22/2025,6,67,0.15,Online,West
137,72,2,5/31/2025,2,307,,Store,South
138,46,14,1/14/2025,6,167,,Online,West
139,74,17,2/24/2025,5,99,0.15,Store,North
140,45,18,4/5/2025,,78,0.1,Online,North
141,72,20,6/7/2025,10,365,,Online,West
142,24,9,6/29/2025,1,410,0.1,Store,North
143,24,5,5/25/2025,6,356,0.15,Store,North
144,12,17,2/25/2025,2,212,0.15,Online,North
145,48,10,3/25/2025,8,417,,Store,South
146,20,6,6/8/2025,10,45,0,Online,North
147,63,20,4/24/2025,5,232,0.1,Store,West
148,56,4,3/14/2025,4,367,,Online,East
149,29,13,6/3/2025,8,48,0,Store,North
150,99,5,3/7/2025,4,168,0.1,Store,South
151,96,14,2/14/2025,2,86,0.15,Online,West
152,10,13,1/11/2025,9,243,0,Online,East
153,74,14,5/27/2025,8,227,0.15,Online,East
154,3,11,2/13/2025,5,430,,Online,West
155,56,4,3/4/2025,8,243,,Store,North
156,40,11,2/26/2025,7,190,0.05,Online,West
157,100,12,3/31/2025,2,392,0.05,Online,South
158,33,7,2/14/2025,4,328,0.05,Online,South
159,60,19,5/29/2025,2,249,,Online,West
160,81,11,2/8/2025,10,245,0,Store,north 
161,36,19,1/15/2025,8,200,,Store,East
162,58,2,1/15/2025,2,208,0.1,Store,West
163,60,19,5/22/2025,2,425,0,Online,West
164,78,16,5/9/2025,8,97,0,Online,East
165,44,3,5/10/2025,8,350,0.05,online,North
166,57,17,5/14/2025,1,332,0.05,Online,West
167,50,14,3/28/2025,6,367,,Store,East
168,43,4,5/23/2025,1,367,0.15,Store,North
169,43,3,5/30/2025,5,359,0.05,Store,South
170,17,20,1/22/2025,6,178,,Store,West
171,86,17,1/24/2025,7,350,0.15,Store,South
172,47,10,2/16/2025,9,129,0.1,Store,North
173,18,5,1/20/2025,8,171,0,Online,South
174,99,20,2/3/2025,9,325,0.15,Online,East
175,89,20,2/12/2025,3,389,0.15,Online,South
176,87,8,4/24/2025,1,332,0.1,Store,East
177,40,16,2/19/2025,8,208,,Online,South
178,100,13,5/9/2025,8,290,0.15,Store,East
179,33,2,6/14/2025,3,266,0.1,Online,South
180,37,3,2/11/2025,9,159,0.15,Online,North
181,12,8,4/26/2025,9,472,0.1,Online,West
182,51,17,4/6/2025,1,140,0.15,Store,North
183,4,11,1/26/2025,2,449,0.1,Store,South
184,37,16,6/28/2025,3,445,0.05,Online,North
185,11,1,3/7/2025,8,130,0.05,Store,North
186,100,10,3/2/2025,9,174,0,Store,North
187,82,20,4/28/2025,1,52,0,Online,West
188,92,5,3/16/2025,8,239,0,Online,South
189,74,14,2/17/2025,10,360,0,Store,South
190,68,18,5/10/2025,9,422,,Store,North
191,61,2,6/12/2025,9,218,0.1,Online,West
192,9,12,3/3/2025,5,395,0,Online,East
193,6,12,5/20/2025,10,193,0.05,Store,South
194,18,3,4/28/2025,8,38,0.1,Store,South
195,6,11,3/21/2025,4,283,0.15,Online,South
196,5,7,3/15/2025,9,202,0,Store,East
197,48,14,4/13/2025,6,400,0.15,Store,North
198,64,16,4/5/2025,7,493,,Store,South
199,11,14,6/4/2025,5,441,0.05,Online,West
200,42,4,1/21/2025,9,187,0.1,Store,north 
201,22,15,3/31/2025,5,248,0,Store,West
202,82,2,1/20/2025,6,363,0.15,Store,East
203,19,20,6/23/2025,6,420,0.15,Online,North
204,31,12,4/3/2025,1,216,,Online,North
205,48,12,4/24/2025,1,410,0,Online,West
206,51,11,6/16/2025,10,162,0.05,Online,East
207,64,17,4/10/2025,2,487,,Online,South
208,91,15,2/24/2025,2,333,0.1,Store,East
209,18,3,4/26/2025,8,108,0.15,Online,North
210,86,12,1/17/2025,,301,,Online,East
211,92,6,4/3/2025,5,280,0.05,Store,South
212,31,16,1/7/2025,2,204,,Online,South
213,71,5,6/6/2025,10,472,0,Store,West
214,92,16,5/15/2025,2,230,0.15,Store,West
215,41,3,4/26/2025,10,258,,Online,South
216,99,5,4/21/2025,6,277,0,Online,South
217,22,6,3/24/2025,2,498,0.05,Online,East
218,33,7,6/12/2025,6,302,0.1,Store,North
219,65,6,6/1/2025,3,317,0.05,Store,North
220,73,2,1/8/2025,3,61,0,online,East
221,99,19,4/17/2025,10,336,0,Store,South
222,62,8,6/25/2025,8,227,0.1,Store,East
223,21,15,4/17/2025,8,267,0.15,Online,North
224,41,11,3/30/2025,4,224,0.05,Store,South
225,31,15,2/1/2025,6,156,0.15,Online,East
226,7,10,4/9/2025,4,462,,Online,North
227,42,19,3/22/2025,7,117,0.05,Online,South
228,40,16,1/6/2025,8,66,0.15,Store,West
229,28,19,4/1/2025,9,44,0,Store,South
230,37,18,1/3/2025,5,453,0,Store,West
231,94,12,4/14/2025,7,207,0,Online,East
232,47,18,3/15/2025,7,57,0.15,Online,South
233,80,20,1/31/2025,9,85,0,Store,East
234,72,12,2/6/2025,7,121,,Store,East
235,6,2,2/5/2025,9,385,0.1,Store,North
236,78,17,2/5/2025,8,187,,Store,South
237,79,10,6/1/2025,6,192,,Online,West
238,61,1,4/5/2025,9,189,0,Store,East
239,77,16,3/9/2025,7,355,,Store,North
240,93,2,5/30/2025,10,265,0.05,Online,north 
241,88,8,1/9/2025,9,313,0,Store,South
242,41,14,2/8/2025,4,231,0.05,Online,West
243,91,5,5/13/2025,7,126,,Store,North
244,41,6,4/28/2025,6,487,,Store,West
245,79,16,2/19/2025,6,146,0.1,Store,East
246,39,10,6/30/2025,9,126,0.15,Store,South
247,72,9,3/15/2025,6,82,,Store,East
248,45,5,3/16/2025,9,41,0.1,Store,West
249,84,9,5/3/2025,2,129,0.05,Store,West
250,18,4,6/7/2025,9,399,,Store,East
251,86,17,2/27/2025,4,346,0.05,Online,North
252,43,16,1/26/2025,1,368,0.05,Online,West
253,84,16,5/3/2025,1,353,0.05,Online,West
254,83,2,1/23/2025,5,353,,Store,East
255,54,6,1/10/2025,4,448,0.15,Online,South
256,5,1,3/18/2025,8,310,,Online,East
257,59,18,5/15/2025,2,272,0.05,Store,East
258,25,4,3/26/2025,9,103,0.15,Store,East
259,95,11,3/17/2025,5,310,0.05,Online,North
260,66,11,1/23/2025,3,225,0,Store,West
261,42,8,1/2/2025,3,153,0.15,Online,West
262,43,10,5/30/2025,4,390,,Store,East
263,89,8,1/16/2025,1,361,0,Store,East
264,52,17,6/30/2025,8,414,0.1,Store,South
265,79,8,2/26/2025,2,88,0.15,Store,East
266,54,18,5/1/2025,3,407,,Store,East
267,68,15,5/16/2025,4,380,0.1,Online,North
268,71,17,2/21/2025,2,313,,Online,North
269,67,15,1/30/2025,3,368,0.05,Online,East
270,66,15,1/15/2025,10,252,0.05,Store,North
271,73,2,5/24/2025,9,256,0.1,Store,West
272,1,7,5/29/2025,1,57,0,Store,East
273,70,2,1/18/2025,7,498,0.15,Store,North
274,24,5,6/14/2025,1,393,0.15,Store,West
275,58,13,4/7/2025,6,61,,online,West
276,23,18,4/11/2025,3,290,0.05,Store,North
277,39,15,6/22/2025,4,388,,Online,North
278,32,15,3/30/2025,7,99,0.1,Store,South
279,85,14,6/7/2025,4,412,0,Online,North
280,27,3,1/26/2025,,324,0,Online,north 
281,95,2,4/13/2025,8,244,0.05,Online,South
282,18,17,3/16/2025,9,139,,Online,North
283,39,5,6/19/2025,6,286,0.05,Store,South
284,8,18,6/1/2025,7,470,0.05,Store,East
285,45,13,5/15/2025,7,183,0.15,Store,North
286,49,6,5/18/2025,7,262,0.05,Online,East
287,60,2,5/24/2025,4,231,0.15,Store,South
288,32,9,2/22/2025,9,189,0,Online,West
289,69,7,1/14/2025,8,157,0.15,Store,North
290,25,19,6/21/2025,10,306,0.05,Online,North
291,39,1,2/24/2025,8,499,0.05,Online,East
292,90,20,6/30/2025,2,124,0.15,Store,South
293,49,15,5/17/2025,4,352,0.1,Store,East
294,66,16,4/30/2025,5,70,0.15,Store,East
295,41,14,1/12/2025,6,308,0.05,Online,East
296,71,19,5/29/2025,3,388,0.15,Online,East
297,43,8,4/8/2025,5,311,0.05,Online,South
298,98,16,6/14/2025,8,398,0.15,Store,East
299,22,5,5/20/2025,8,270,0.05,Online,East
300,10,2,1/2/2025,9,231,0.05,Online,North
301,2,7,5/10/2025,4,253,0.1,Online,South
302,3,1,5/17/2025,1,302,0.15,Store,West
303,69,10,1/5/2025,1,277,0.15,Online,East
304,68,5,3/3/2025,3,118,,Online,North
305,35,13,1/21/2025,9,211,0.15,Store,East
306,39,3,6/17/2025,8,459,0,Online,South
307,49,18,5/2/2025,2,48,0,Store,West
308,56,11,5/25/2025,3,459,0,Online,West
309,28,19,5/2/2025,9,158,0,Online,South
310,23,11,1/5/2025,2,126,,Store,North
311,39,6,5/25/2025,3,143,,Store,North
312,97,5,6/26/2025,7,390,0,Store,West
313,13,14,3/1/2025,9,449,0,Store,North
314,4,9,4/26/2025,6,271,0.05,Store,East
315,24,19,6/19/2025,6,214,0,Store,West
316,92,3,1/22/2025,10,157,0.05,Store,South
317,41,12,1/28/2025,7,66,0,Online,West
318,98,9,1/27/2025,5,87,0,Store,East
319,72,18,5/12/2025,3,228,0,Store,West
320,46,18,1/24/2025,1,325,,Online,north 
321,38,14,4/10/2025,6,418,0,Store,North
322,88,13,2/13/2025,9,91,0.1,Online,South
323,19,3,2/12/2025,5,242,0.1,Store,West
324,10,12,3/6/2025,7,146,0.15,Store,West
325,14,5,3/19/2025,10,23,0.15,Online,West
326,57,11,4/21/2025,6,437,,Store,East
327,78,7,5/3/2025,3,180,0.05,Store,East
328,95,16,5/28/2025,7,420,0.05,Store,East
329,51,12,1/30/2025,6,497,,Store,East
330,88,18,1/7/2025,4,392,0.15,online,South
331,89,3,4/15/2025,4,364,0.15,Store,East
332,33,5,4/19/2025,3,424,0.15,Store,South
333,75,13,5/17/2025,2,279,0.15,Store,West
334,90,18,6/2/2025,9,346,0,Online,East
335,22,20,1/12/2025,2,308,0.15,Online,East
336,2,4,3/8/2025,6,133,,Store,North
337,48,13,4/29/2025,9,415,,Online,West
338,4,16,1/27/2025,9,171,0.15,Online,East
339,45,10,3/29/2025,2,253,0.05,Online,South
340,61,4,4/23/2025,9,389,0.15,Store,East
341,6,4,1/6/2025,6,454,0.1,Online,East
342,67,6,5/22/2025,2,101,0.1,Online,South
343,30,13,6/11/2025,9,114,0.05,Store,West
344,95,20,2/20/2025,7,250,,Store,North
345,91,7,2/22/2025,7,162,0,Store,North
346,47,11,2/20/2025,10,254,0,Online,South
347,77,13,6/6/2025,5,220,,Store,East
348,59,20,2/14/2025,2,436,0.1,Store,East
349,41,4,3/3/2025,10,176,0,Online,South
350,89,5,5/11/2025,,218,0.15,Online,East
351,55,6,5/5/2025,10,345,,Online,West
352,37,5,2/17/2025,3,181,0.15,Online,West
353,2,16,2/4/2025,10,119,0.15,Online,East
354,88,16,4/17/2025,9,383,0.15,Store,West
355,73,1,2/26/2025,8,169,0,Online,North
356,22,15,5/25/2025,5,400,0.15,Online,East
357,35,18,4/4/2025,9,297,0,Online,North
358,14,8,3/18/2025,8,467,0,Online,West
359,12,15,1/31/2025,8,417,0.05,Store,East
360,91,20,6/11/2025,4,239,0.05,Store,north 
361,27,2,5/26/2025,10,199,,Online,South
362,91,10,3/16/2025,5,313,0.1,Online,East
363,97,14,1/16/2025,9,161,0.05,Online,South
364,92,11,3/5/2025,3,409,0.15,Online,South
365,81,14,4/7/2025,8,251,0,Online,East
366,89,12,4/27/2025,2,269,0.1,Store,East
367,94,15,6/12/2025,10,360,0.1,Online,North
368,55,7,5/7/2025,2,157,0.1,Store,South
369,73,16,3/29/2025,5,477,0,Store,South
370,3,4,2/10/2025,1,245,0.15,Online,West
371,89,5,6/16/2025,1,174,0.05,Store,South
372,33,3,4/6/2025,5,360,0.05,Online,East
373,93,8,4/20/2025,1,355,0,Store,East
374,62,3,2/3/2025,2,323,0.05,Online,South
375,2,11,1/31/2025,9,460,0.15,Store,North
376,30,13,1/23/2025,3,394,0,Store,North
377,39,5,4/8/2025,2,416,0.05,Store,East
378,79,6,4/23/2025,3,199,0.05,Online,North
379,28,3,1/26/2025,3,91,0,Store,West
380,55,11,2/5/2025,10,146,0.1,Store,East
381,100,1,6/18/2025,2,468,0.1,Online,East
382,38,2,3/3/2025,4,273,0.15,Online,West
383,82,20,1/19/2025,2,290,0,Online,West
384,50,19,4/18/2025,6,207,,Store,South
385,99,3,1/5/2025,3,320,0,online,West
386,6,2,4/12/2025,1,279,0.1,Store,South
387,90,13,1/22/2025,9,347,,Store,West
388,11,10,1/21/2025,9,281,0.05,Online,East
389,76,3,3/21/2025,3,377,0.15,Store,West
390,12,14,1/30/2025,4,252,,Online,South
391,86,6,1/31/2025,10,26,0.05,Online,East
392,45,17,5/13/2025,1,420,0.1,Online,West
393,96,9,1/31/2025,3,414,0,Store,South
394,68,3,3/9/2025,6,384,,Store,East
395,66,12,1/15/2025,2,275,,Store,West
396,33,4,5/27/2025,3,365,0,Store,South
397,2,8,1/12/2025,4,261,0.1,Online,North
398,5,18,6/17/2025,7,234,0.05,Online,South
399,93,11,3/11/2025,6,442,0,Online,West
400,16,17,6/22/2025,10,481,0,Store,north 
401,52,3,4/30/2025,3,463,0.1,Online,North
402,71,15,1/3/2025,5,208,0.05,Store,North
403,60,12,6/1/2025,5,272,0.05,Store,South
404,1,14,1/7/2025,9,139,,Online,South
405,1,13,3/20/2025,6,73,0.05,Online,East
406,63,2,2/6/2025,9,384,0.1,Online,West
407,67,14,6/29/2025,2,478,0.1,Online,South
408,65,5,6/13/2025,8,439,0.15,Online,North
409,85,5,3/2/2025,2,169,0.1,Online,West
410,41,15,3/11/2025,6,139,0,Store,East
411,20,4,2/12/2025,4,250,0.15,Online,North
412,69,12,2/23/2025,6,251,0.1,Store,North
413,12,6,6/25/2025,8,175,,Store,North
414,19,3,3/5/2025,1,202,0.15,Online,East
415,34,6,1/8/2025,9,227,0.15,Online,East
416,60,4,2/5/2025,9,82,0,Online,North
417,26,13,4/6/2025,1,371,0,Online,South
418,3,3,2/20/2025,10,482,0.15,Store,North
419,16,2,4/29/2025,3,45,0.05,Online,East
420,64,1,4/8/2025,,369,0.15,Store,West
421,24,9,3/13/2025,3,248,0.05,Store,South
422,64,14,5/21/2025,1,265,0,Online,East
423,18,14,2/21/2025,2,349,,Store,West
424,92,12,5/3/2025,4,298,0.15,Online,West
425,35,6,1/7/2025,6,183,,Store,West
426,8,16,5/16/2025,4,203,,Online,East
427,32,8,3/10/2025,4,293,0,Online,North
428,23,6,3/2/2025,4,323,0.1,Store,East
429,73,19,2/6/2025,6,308,0.05,Online,East
430,63,2,1/24/2025,8,48,0.05,Store,South
431,68,16,1/1/2025,10,189,,Online,North
432,92,6,3/24/2025,4,50,0,Online,East
433,68,12,1/19/2025,3,211,0.15,Online,North
434,39,11,2/4/2025,10,100,0.15,Online,East
435,91,18,6/27/2025,8,475,,Store,South
436,49,10,6/26/2025,6,170,0.05,Online,South
437,99,19,1/9/2025,3,113,,Online,West
438,64,5,3/26/2025,6,401,0,Online,North
439,22,3,6/21/2025,4,347,0.1,Store,East
440,2,9,2/23/2025,8,147,0,online,north 
441,93,1,1/13/2025,6,217,0.15,Store,North
442,64,13,3/31/2025,7,299,0.15,Online,West
443,21,15,1/19/2025,2,429,0,Store,South
444,34,4,1/19/2025,5,195,0.05,Online,East
445,71,3,3/28/2025,7,324,,Online,North
446,84,6,6/5/2025,8,475,0.15,Online,West
447,43,7,2/18/2025,3,229,,Online,North
448,39,8,1/25/2025,9,45,0.15,Store,East
449,7,12,1/1/2025,10,238,0,Store,South
450,13,1,2/22/2025,5,107,0.1,Store,South
451,40,13,5/1/2025,2,270,0.1,Store,North
452,48,13,4/5/2025,2,115,0.15,Store,South
453,60,9,2/27/2025,1,448,0.1,Store,West
454,97,4,1/22/2025,10,362,0.1,Online,South
455,71,2,4/10/2025,9,439,,Store,South
456,61,10,1/21/2025,7,222,0,Store,South
457,97,15,2/14/2025,9,105,0.05,Online,North
458,55,3,6/24/2025,4,242,0.05,Online,North
459,94,3,1/23/2025,3,218,,Store,East
460,67,15,1/4/2025,7,422,,Store,East
461,54,5,2/7/2025,10,310,,Store,North
462,73,4,3/15/2025,10,464,,Online,North
463,50,16,5/27/2025,6,331,0.15,Store,East
464,52,5,6/8/2025,1,331,0.15,Online,East
465,89,8,1/13/2025,1,401,0.15,Store,East
466,44,10,3/21/2025,5,163,0.15,Store,North
467,39,15,3/24/2025,2,157,0.15,Online,South
468,57,7,4/15/2025,10,399,0.15,Online,South
469,66,6,1/17/2025,9,179,,Store,North
470,23,7,2/21/2025,7,448,0,Online,North
471,7,12,6/30/2025,4,121,0.1,Online,West
472,82,4,6/24/2025,6,35,0.05,Store,West
473,23,16,5/31/2025,6,302,0.1,Store,West
474,96,3,3/14/2025,6,34,0.15,Online,East
475,29,8,6/23/2025,1,125,0.1,Online,South
476,61,5,6/15/2025,7,108,,Online,North
477,78,10,6/14/2025,1,160,0.15,Online,East
478,33,7,4/30/2025,7,174,,Store,West
479,1,17,6/19/2025,10,451,0.1,Store,North
480,39,4,5/4/2025,9,52,0.1,Store,north 
481,34,10,2/18/2025,5,96,,Store,East
482,85,11,6/24/2025,4,91,0,Online,West
483,54,13,4/10/2025,8,397,0,Store,East
484,93,8,6/25/2025,10,293,0.15,Online,East
485,85,18,2/16/2025,6,170,0,Store,South
486,93,18,2/16/2025,8,368,0.1,Online,East
487,29,10,4/18/2025,2,423,0.1,Online,East
488,60,4,5/1/2025,6,47,,Store,East
489,25,17,1/31/2025,10,464,0.15,Online,West
490,7,5,2/5/2025,,122,0.1,Store,West
491,41,6,1/21/2025,7,269,0.1,Store,South
492,1,15,3/12/2025,3,127,0.05,Store,North
493,98,3,2/3/2025,10,334,0.15,Online,West
494,62,13,1/2/2025,7,39,,Store,West
495,2,11,5/16/2025,4,117,0,online,East
496,89,12,3/21/2025,1,86,0,Online,South
497,9,2,3/18/2025,7,168,0.15,Store,South
498,88,5,3/29/2025,9,481,0.15,Store,West
499,52,1,2/28/2025,6,134,0.05,Online,South
500,16,12,6/16/2025,4,425,0,Online,South
